event_id,issuer,ticker,event_category,sector,event_timestamp_et,release_session,entry_timestamp_et,timestamp_verification_status,qc_mechanical_status,qc_reason,entry_observation_price,prior20_median_daily_dollar_volume,actual_first_tradable_minute_et,accepted_primary_sample,exclusion_reason,outcome_fields_present,qc_project_id,qc_backtest_id
E3-CEG-20240920,Constellation Energy,CEG,E3_Major_Contract_Order_Capacity,Utilities,2024-09-20 07:00:00 EDT,PREMARKET,2024-09-20 10:00:00 EDT,VERIFIED_PRIMARY_WITH_TIME,MECHANICAL_PASS,PASS,238.70,459330630.64,2024-09-20 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E3-MP-20250710,MP Materials,MP,E3_Major_Contract_Order_Capacity,Materials,2025-07-10 06:00:00 EDT,PREMARKET,2025-07-10 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_WIRE_TIME,MECHANICAL_PASS,PASS,46.72,320403920.38,2025-07-10 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E4-GE-20211109,General Electric,GE,E4_Product_Commercialization_Strategic,Industrials,2021-11-09 06:30:00 EST,PREMARKET,2021-11-09 10:00:00 EST,VERIFIED,MECHANICAL_PASS,PASS,114.73,595890802.72,2021-11-09 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E4-JNJ-20211112,Johnson & Johnson,JNJ,E4_Product_Commercialization_Strategic,Health Care,2021-11-12 06:30:00 EST,PREMARKET,2021-11-12 10:00:00 EST,VERIFIED,MECHANICAL_PASS,PASS,165.57,975170220.05,2021-11-12 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E4-IBM-20201008,International Business Machines,IBM,E4_Product_Commercialization_Strategic,Information Technology,2020-10-08 07:55:35 EDT,PREMARKET,2020-10-08 10:00:00 EDT,VERIFIED_SEC_ACCEPTED_TIME,MECHANICAL_PASS,PASS,133.00,392054209.36,2020-10-08 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E4-K-20220621,Kellogg Company,K,E4_Product_Commercialization_Strategic,Consumer Staples,2022-06-21 07:00:00 EDT,PREMARKET,2022-06-21 10:00:00 EDT,VERIFIED_PRIMARY_WITH_TIME,MECHANICAL_PASS,PASS,69.04,166605254.66,2022-06-21 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E5-ATVI-20220118,Activision Blizzard,ATVI,E5_MA_Policy_SupplyChain,Communication Services,2022-01-18 08:28:00 EST,PREMARKET,2022-01-18 10:00:00 EST,VERIFIED_PRIMARY_WITH_TIME,MECHANICAL_PASS,PASS,84.26,721187865.42,2022-01-18 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E5-HES-20231023,Hess,HES,E5_MA_Policy_SupplyChain,Energy,2023-10-23 05:00:00 EDT,PREMARKET,2023-10-23 10:00:00 EDT,VERIFIED_PRIMARY_RELEASE_TIME,MECHANICAL_PASS,PASS,165.24,259155490.50,2023-10-23 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E5-PXD-20231011,Pioneer Natural Resources,PXD,E5_MA_Policy_SupplyChain,Energy,2023-10-11 06:30:00 EDT,PREMARKET,2023-10-11 10:00:00 EDT,VERIFIED,MECHANICAL_PASS,PASS,238.40,425415013.36,2023-10-11 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E5-TWTR-20220425,Twitter,TWTR,E5_MA_Policy_SupplyChain,Communication Services,2022-04-25 14:50:00 EDT,REGULAR_SESSION,2022-04-25 15:20:00 EDT,VERIFIED_PRIMARY_PLUS_NEWS_TIME_PENDING_HALT_AUDIT,MECHANICAL_PASS,PASS,51.96,3326197432.95,2022-04-25 15:21:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E5-DRE-20220613,Duke Realty,DRE,E5_MA_Policy_SupplyChain,Real Estate,2022-06-13 08:00:00 EDT,PREMARKET,2022-06-13 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_PRNEWSWIRE_TIME,MECHANICAL_PASS,PASS,50.14,142312306.36,2022-06-13 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E5-DFS-20240219,Discover Financial Services,DFS,E5_MA_Policy_SupplyChain,Financials,2024-02-19 18:41:00 EST,NON_TRADING_DAY,2024-02-20 10:00:00 EST,VERIFIED_PRIMARY_PLUS_PRNEWSWIRE_TIME,MECHANICAL_PASS,PASS,123.65,182903358.56,2024-02-20 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E5-ACI-20221014,Albertsons Companies,ACI,E5_MA_Policy_SupplyChain,Consumer Staples,2022-10-14 07:03:00 EDT,PREMARKET,2022-10-14 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_PRNEWSWIRE_TIME,MECHANICAL_PASS,PASS,27.00,72945851.07,2022-10-14 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E5-IRBT-20220805,iRobot,IRBT,E5_MA_Policy_SupplyChain,Consumer Discretionary,2022-08-05 08:00:00 EDT,PREMARKET,2022-08-05 10:00:00 EDT,VERIFIED_PRIMARY_EVENT_SECONDARY_EXACT_TIME,MECHANICAL_FAIL,MEDIAN_DOLLAR_VOLUME_LT_20M,59.54,15313056.38,2022-08-05 10:01:00,false,FROZEN_LIQUIDITY_RULE_FAIL,false,35534281,0b227c59e639ab6db3e13734aaf1c383
